City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,esperance,-33.8667,121.9,17.47,70,0,3.8,AU,1681339618
1,acapulco,16.8634,-99.8901,30.9,62,0,5.14,MX,1681339609
2,hilo,19.7297,-155.09,25.85,75,75,4.63,US,1681339620
3,fortuna,40.5982,-124.1573,11.19,61,11,4.92,US,1681339621
4,port alfred,-33.5906,26.891,18.86,63,100,3.55,ZA,1681339621
5,linqu,36.5156,118.5397,14.9,39,85,4.69,CN,1681339622
6,hobart,-42.8794,147.3294,14.03,94,75,0.0,AU,1681339623
7,albany,42.6001,-73.9662,24.23,65,2,3.55,US,1681339349
8,cape town,-33.9258,18.4232,17.99,74,0,2.06,ZA,1681339409
9,tabuk,17.4189,121.4443,24.46,91,99,1.22,PH,1681339625
10,ushuaia,-54.8,-68.3,3.81,65,75,7.72,AR,1681339626
11,lorengau,-2.0226,147.2712,28.79,74,96,4.39,PG,1681339626
12,castro,-24.7911,-50.0119,17.54,81,80,0.93,BR,1681339627
13,beba,22.4437,-79.7253,32.15,56,62,1.78,CU,1681339628
14,cape canaveral,28.4058,-80.6048,23.04,84,75,8.23,US,1681339629
15,rikitea,-23.1203,-134.9692,25.46,68,32,4.99,PF,1681339630
16,tera,14.0078,0.7531,31.76,12,9,4.49,NE,1681339630
17,kampot,10.6167,104.1833,28.03,85,95,1.44,KH,1681339631
18,vaini,-21.2,-175.2,29.09,74,75,5.14,TO,1681339632
19,neyshabur,36.2133,58.7958,21.5,17,37,4.81,IR,1681339633
20,lubbock,33.6001,-101.8338,28.14,24,20,8.75,US,1681339377
21,praya,14.9215,-23.5087,22.3,73,0,5.14,CV,1681339634
22,coquimbo,-29.9533,-71.3436,17.85,77,0,3.6,CL,1681339635
23,manokwari,-0.8667,134.0833,26.96,77,85,0.43,ID,1681339636
24,basco,20.4487,121.9702,25.51,85,100,10.57,PH,1681339637
25,labuhan,-6.8844,112.2051,25.7,87,100,3.08,ID,1681339637
26,kasongo,-4.45,26.6667,20.44,97,100,0.67,CD,1681339638
27,narsaq,60.9167,-46.05,3.12,82,72,1.81,GL,1681339640
28,cascais,38.6979,-9.4215,13.3,64,62,9.39,PT,1681339585
29,fairlie,55.756,-4.8556,5.78,87,100,2.05,GB,1681339641
30,new norfolk,-42.7826,147.0587,13.84,74,58,0.87,AU,1681339642
31,carlisle,40.2015,-77.1889,30.8,58,8,3.77,US,1681339639
32,barrow,71.2906,-156.7887,-21.99,77,0,5.14,US,1681339643
33,butaritari,3.0707,172.7902,27.39,74,61,2.56,KI,1681339644
34,busselton,-33.65,115.3333,19.14,70,85,8.6,AU,1681339645
35,saskylakh,71.9167,114.0833,-11.74,94,100,7.05,RU,1681339646
36,aguimes,27.9054,-15.4461,19.81,73,20,9.26,ES,1681339646
37,whitehorse,60.7161,-135.0538,2.43,41,100,5.66,CA,1681339647
38,arraial do cabo,-22.9661,-42.0278,23.98,83,75,5.14,BR,1681339573
39,jackson,42.4165,-122.8345,9.81,55,20,1.54,US,1681339562
40,karratha,-20.7377,116.8463,28.23,69,100,3.91,AU,1681339649
41,brookline,42.3318,-71.1212,22.31,31,75,5.66,US,1681339503
42,bredasdorp,-34.5322,20.0403,13.52,83,100,2.22,ZA,1681339651
43,copiapo,-27.3667,-70.3333,16.83,58,5,1.99,CL,1681339472
44,mahebourg,-20.4081,57.7,24.16,94,20,1.54,MU,1681339653
45,east london,-33.0153,27.9116,18.44,73,100,4.46,ZA,1681339653
46,mar del plata,-38.0023,-57.5575,13.01,76,20,4.12,AR,1681339411
47,dingle,10.9995,122.6711,25.5,74,65,1.59,PH,1681339655
48,apia,-13.8333,-171.7667,30.95,71,7,1.57,WS,1681339656
49,pradopolis,-21.3594,-48.0656,25.1,95,95,0.81,BR,1681339656
50,malibu,34.005,-118.8101,17.71,93,100,0.89,US,1681339522
51,shingu,33.7333,135.9833,14.49,51,0,1.77,JP,1681339658
52,thinadhoo,0.5333,72.9333,27.88,72,14,1.31,MV,1681339658
53,provideniya,64.3833,-173.3,-14.8,61,20,3.13,RU,1681339659
54,coihaique,-45.5752,-72.0662,11.34,53,0,3.6,CL,1681339660
